category,horizon_min,n,n_unique_markets,mae,brier,observed_yes_rate,predicted_mean,volume_mean
Crypto,10,3261,3261,0.4543563324133701,0.2270434544618215,0.4789941735663907,0.47944158233670653,193237.70331986307
Sports,10,1634,1634,0.3644978580171358,0.18747007175642594,0.4975520195838433,0.48191585067319465,625614.1003024189
Uncategorized,10,982,982,0.4294073319755601,0.2167923732179226,0.439918533604888,0.46329124236252545,154414.82687598464
Culture,10,173,173,0.07428034682080925,0.03632342919075144,0.12138728323699421,0.1142456647398844,555106.6405986756
Politics,10,158,158,0.058028481012658215,0.028038289556962016,0.1518987341772152,0.13874999999999998,2090647.4279143421
Technology,10,99,99,0.17895959595959596,0.11163741919191918,0.23232323232323232,0.15896969696969696,322999.41840355616
Economy,10,89,89,0.09251685393258427,0.047834264044943814,0.16853932584269662,0.16237078651685394,3359638.341085194
World,10,27,27,0.13103703703703704,0.07502918518518518,0.1111111111111111,0.09177777777777776,5820820.331206614
Science,10,2,2,0.031,0.00183125,0.0,0.031,201680.56840049993
Crypto,30,3224,3224,0.4540049627791563,0.22688146789702232,0.4792183622828784,0.4790825062034739,193964.7998715296
Sports,30,1627,1627,0.36407037492317146,0.18702117655193606,0.49784880147510757,0.48171020282728944,626812.9148943255
Uncategorized,30,974,974,0.4299219712525667,0.21718933572895274,0.4383983572895277,0.4633459958932238,154848.35809570528
Culture,30,173,173,0.07177167630057803,0.033614819364161844,0.12138728323699421,0.11403179190751445,555106.6405986756
Politics,30,158,158,0.05768354430379746,0.027752082278481006,0.1518987341772152,0.13934177215189875,2090647.4279143421
Technology,30,99,99,0.17914141414141413,0.11161692424242424,0.23232323232323232,0.15952525252525254,322999.41840355616
Economy,30,89,89,0.09210112359550561,0.04862161235955056,0.16853932584269662,0.1605056179775281,3359638.341085194
World,30,27,27,0.13218518518518518,0.07677066666666665,0.1111111111111111,0.09077777777777778,5820820.331206614
Science,30,2,2,0.03225,0.001866625,0.0,0.03225,201680.56840049993
Crypto,60,3164,3164,0.453469816687737,0.22668460785398228,0.47914032869785084,0.4790962389380531,195334.76746646504
Sports,60,1588,1588,0.3624379722921914,0.1864969752833753,0.49433249370277077,0.48214011335012597,633490.8957245431
Uncategorized,60,951,951,0.42853627760252366,0.2168760483701367,0.4374342797055731,0.461931650893796,155148.383275246
Culture,60,173,173,0.07300867052023122,0.03418722109826589,0.12138728323699421,0.11385838150289018,555106.6405986756
Politics,60,158,158,0.05686075949367087,0.027523259493670876,0.1518987341772152,0.14062658227848102,2090647.4279143421
Technology,60,99,99,0.1802070707070707,0.11266312373737372,0.23232323232323232,0.15814646464646465,322999.41840355616
Economy,60,89,89,0.09008988764044942,0.046081134831460674,0.16853932584269662,0.16014606741573034,3359638.341085194
World,60,27,27,0.12677777777777777,0.07490496296296295,0.1111111111111111,0.08551851851851852,5820820.331206614
Science,60,2,2,0.06125,0.00708662499999995,0.0,0.06125,201680.56840049993
Crypto,120,3075,3075,0.4519510569105691,0.22569053195121952,0.479349593495935,0.4784112195121951,197269.63054858812
Sports,120,1565,1565,0.36283706070287536,0.18577363354632587,0.4913738019169329,0.47943258785942494,634723.4776717684
Uncategorized,120,925,925,0.4261037837837838,0.21535538810810811,0.43891891891891893,0.46128,156017.01381280966
Culture,120,173,173,0.07380346820809248,0.03388450867052022,0.12138728323699421,0.11399421965317919,555106.6405986756
Politics,120,158,158,0.06671518987341771,0.03281719620253164,0.1518987341772152,0.14353164556962025,2090647.4279143421
Technology,120,99,99,0.18213131313131312,0.11138087878787879,0.23232323232323232,0.1606161616161616,322999.41840355616
Economy,120,89,89,0.09519101123595505,0.04968846067415729,0.16853932584269662,0.16479775280898876,3359638.341085194
World,120,27,27,0.12285185185185186,0.06962507407407408,0.1111111111111111,0.08725925925925926,5820820.331206614
Science,120,2,2,0.0645,0.00788125,0.0,0.0645,201680.56840049993
Crypto,180,2981,2981,0.45074538745387455,0.22511740858772222,0.4766856759476686,0.4773659845689366,199558.90082042015
Sports,180,1504,1504,0.36123670212765957,0.1852462357047872,0.488031914893617,0.4765658244680851,643827.1098251853
Uncategorized,180,896,896,0.4249854910714285,0.2150473917410714,0.43638392857142855,0.4583236607142857,156991.19067919077
Culture,180,173,173,0.07410693641618496,0.03323757658959537,0.12138728323699421,0.11385838150289018,555106.6405986756
Politics,180,158,158,0.06854113924050632,0.034785096518987334,0.1518987341772152,0.14516772151898735,2090647.4279143421
Technology,180,98,98,0.1733112244897959,0.1034945637755102,0.22448979591836735,0.1569438775510204,325354.63128575566
Economy,180,89,89,0.09725842696629212,0.05229182022471909,0.16853932584269662,0.16682022471910113,3359638.341085194
World,180,27,27,0.11896296296296296,0.06802396296296297,0.1111111111111111,0.08192592592592592,5820820.331206614
Science,180,2,2,0.068,0.00898,0.0,0.068,201680.56840049993
Crypto,240,2870,2870,0.448858362369338,0.22387628318815328,0.47735191637630664,0.47625,202352.58379806287
Sports,240,1473,1473,0.36451934826883914,0.18743076849966053,0.48336727766463,0.4734582484725051,647698.8828214804
Uncategorized,240,865,865,0.4221167630057803,0.2131510895953757,0.4369942196531792,0.45713872832369945,158225.73055118026
Culture,240,173,173,0.07366763005780345,0.03172759393063583,0.12138728323699421,0.11392196531791908,555106.6405986756
Politics,240,158,158,0.06706962025316456,0.033757284810126575,0.1518987341772152,0.14427848101265822,2090647.4279143421
Technology,240,98,98,0.17777551020408164,0.10827320408163264,0.22448979591836735,0.15287755102040815,325354.63128575566
Economy,240,89,89,0.093876404494382,0.04789288764044943,0.16853932584269662,0.1653483146067416,3359638.341085194
World,240,27,27,0.12125925925925926,0.06868799999999999,0.1111111111111111,0.0852962962962963,5820820.331206614
Science,240,2,2,0.06425,0.007879625,0.0,0.06425,201680.56840049993
Crypto,300,2733,2733,0.4468245517746066,0.22276116419685327,0.47420417124039516,0.4749771313574826,205869.21820977444
Sports,300,1441,1441,0.36269292158223454,0.18592445610687022,0.4823039555863983,0.4708504510756419,654924.6430424112
Uncategorized,300,827,827,0.4197962515114873,0.21193687031438938,0.44256348246674726,0.4543089480048368,159899.86229859001
Culture,300,173,173,0.07748554913294797,0.03530779768786126,0.12138728323699421,0.11348554913294798,555106.6405986756
Politics,300,158,158,0.06950632911392404,0.03422898734177215,0.1518987341772152,0.14524683544303799,2090647.4279143421
Technology,300,97,97,0.17848453608247422,0.11013053092783504,0.2268041237113402,0.14849484536082475,327531.3654151449
Economy,300,89,89,0.09464044943820225,0.04838225280898876,0.16853932584269662,0.16625842696629214,3359638.341085194
World,300,27,27,0.12562962962962962,0.0735157222222222,0.1111111111111111,0.08433333333333334,5820820.331206614
Science,300,2,2,0.06425,0.007879625,0.0,0.06425,201680.56840049993
Crypto,360,2598,2598,0.445096805234796,0.2222711309661278,0.4745958429561201,0.4740598537336413,209464.86747619114
Sports,360,1426,1426,0.3611384992987377,0.18506287920757364,0.48106591865357645,0.4717507012622721,657736.4278443791
Uncategorized,360,795,795,0.41632704402515724,0.20988510125786164,0.44528301886792454,0.4529132075471698,160866.96200232446
Culture,360,173,173,0.08223410404624278,0.03798972109826589,0.12138728323699421,0.11966184971098265,555106.6405986756
Politics,360,158,158,0.06979430379746836,0.03403946677215189,0.1518987341772152,0.14520569620253163,2090647.4279143421
Technology,360,97,97,0.17916494845360822,0.11111354123711338,0.2268041237113402,0.14850515463917524,327531.3654151449
Economy,360,89,89,0.09334831460674158,0.04749199999999999,0.16853932584269662,0.16512359550561798,3359638.341085194
World,360,27,27,0.12761111111111112,0.07740237962962962,0.1111111111111111,0.0816111111111111,5820820.331206614
Science,360,2,2,0.07825,0.011710624999999999,0.0,0.07825,201680.56840049993
Crypto,420,2466,2466,0.44238179237631786,0.22082619880373072,0.4724249797242498,0.4718992295214923,213408.2119879256
Sports,420,1411,1411,0.3603401842664777,0.18472016052445073,0.4805102763997165,0.471053862508859,660859.8226364214
Uncategorized,420,750,750,0.4116813333333333,0.207425192,0.43733333333333335,0.450184,162481.0310353026
Culture,420,169,169,0.07456508875739645,0.03374080029585798,0.11834319526627218,0.11081952662721893,564136.4878535495
Politics,420,158,158,0.06947468354430379,0.03335513607594936,0.1518987341772152,0.14422784810126582,2090647.4279143421
Technology,420,97,97,0.17786082474226803,0.10893467783505152,0.2268041237113402,0.1493041237113402,327531.3654151449
Economy,420,89,89,0.09502808988764044,0.04898660955056179,0.16853932584269662,0.16493820224719102,3359638.341085194
World,420,27,27,0.12555555555555556,0.07484870370370371,0.1111111111111111,0.08077777777777778,5820820.331206614
Science,420,2,2,0.08,0.011950249999999999,0.0,0.08,201680.56840049993
Crypto,480,2325,2325,0.43891096774193544,0.21888977784946234,0.4752688172043011,0.46958666666666665,217477.01613832498
Sports,480,1391,1391,0.35887131560028757,0.18392572609633356,0.47807332854061824,0.4694946081955428,664830.4164649709
Uncategorized,480,702,702,0.4068076923076923,0.2051597514245014,0.42735042735042733,0.4461296296296296,163541.75947794013
Culture,480,169,169,0.07721301775147929,0.035891289940828394,0.11834319526627218,0.1080828402366864,564136.4878535495
Politics,480,158,158,0.06926265822784809,0.03325484651898733,0.1518987341772152,0.14379430379746835,2090647.4279143421
Technology,480,97,97,0.1811082474226804,0.11008188402061855,0.2268041237113402,0.1495721649484536,327531.3654151449
Economy,480,89,89,0.09787640449438201,0.05144262921348313,0.16853932584269662,0.16665168539325845,3359638.341085194
World,480,27,27,0.12683333333333333,0.07575025,0.1111111111111111,0.08127777777777778,5820820.331206614
Science,480,2,2,0.09875,0.018169625000000002,0.0,0.09875,201680.56840049993
Crypto,540,2184,2184,0.43563209706959705,0.21711606101190475,0.4684065934065934,0.4675721153846154,222057.10567284367
Sports,540,1378,1378,0.3575732946298984,0.18319452285921622,0.47677793904209,0.46870319303338176,667909.1958575179
Uncategorized,540,662,662,0.40111480362537766,0.20221864879154078,0.4214501510574018,0.4423791540785499,164442.1459159773
Culture,540,168,168,0.07829166666666668,0.038314839285714275,0.11904761904761904,0.10564880952380952,566153.1262832076
Politics,540,158,158,0.07071202531645569,0.03419308386075949,0.1518987341772152,0.14311075949367089,2090647.4279143421
Technology,540,97,97,0.18320103092783505,0.11367370360824741,0.2268041237113402,0.14694329896907218,327531.3654151449
Economy,540,89,89,0.09864606741573033,0.05218849157303371,0.16853932584269662,0.16597191011235954,3359638.341085194
World,540,27,27,0.1272962962962963,0.07326712962962963,0.1111111111111111,0.08692592592592592,5820820.331206614
Science,540,2,2,0.09025,0.01499262499999995,0.0,0.09025,201680.56840049993
Crypto,600,2049,2049,0.4320695461200586,0.21558909358223521,0.4675451439726696,0.4657162030258663,227030.7707887402
Sports,600,1361,1361,0.3554338721528288,0.1815642488978692,0.4761204996326231,0.4682825128581925,671018.8760968484
Uncategorized,600,624,624,0.3971033653846154,0.20069754927884614,0.42467948717948717,0.4405440705128205,166353.39525387497
Culture,600,167,167,0.08137724550898204,0.03872974251497005,0.11976047904191617,0.10481437125748504,568767.208299137
Politics,600,158,158,0.07013291139240506,0.03396260443037974,0.1518987341772152,0.14305696202531645,2090647.4279143421
Technology,600,97,97,0.1796185567010309,0.11112489690721648,0.2268041237113402,0.14485567010309278,327531.3654151449
Economy,600,89,89,0.09692696629213483,0.05062987921348314,0.16853932584269662,0.16341011235955055,3359638.341085194
World,600,27,27,0.12925925925925927,0.07472516666666668,0.1111111111111111,0.08703703703703704,5820820.331206614
Science,600,2,2,0.153,0.044579249999999994,0.0,0.153,201680.56840049993
Crypto,660,1925,1925,0.4274568831168831,0.2131629744155844,0.4623376623376623,0.4628106493506493,233120.66991273852
Sports,660,1347,1347,0.35359317000742385,0.18020368114328134,0.4758723088344469,0.4665308092056422,673879.6116024837
Uncategorized,660,597,597,0.39272613065326634,0.1986078320770519,0.41708542713567837,0.438000837520938,168548.86908373365
Culture,660,167,167,0.08044910179640719,0.03776494311377245,0.11976047904191617,0.10410179640718564,568767.208299137
Politics,660,158,158,0.07185126582278481,0.03481008702531644,0.1518987341772152,0.14131962025316458,2090647.4279143421
Technology,660,97,97,0.17969587628865977,0.10897880154639175,0.2268041237113402,0.14628350515463917,327531.3654151449
Economy,660,83,83,0.06849999999999999,0.03580274397590361,0.12048192771084337,0.14029518072289157,3584948.117262497
World,660,27,27,0.12987037037037036,0.07372502777777777,0.1111111111111111,0.08912962962962963,5820820.331206614
Science,660,2,2,0.13625,0.035012125,0.0,0.13625,201680.56840049993
Crypto,720,1806,1806,0.422641472868217,0.21051946220930232,0.45625692137320045,0.4600113510520487,240103.37308488795
Sports,720,1342,1342,0.3526900149031297,0.1792423789120715,0.47466467958271236,0.46574888226527567,675189.7418888834
Uncategorized,720,563,563,0.3869014209591474,0.19583405817051508,0.41207815275310833,0.43367761989342807,171239.06196477264
Culture,720,167,167,0.08217365269461077,0.03978173353293412,0.11976047904191617,0.10269461077844311,568767.208299137
Politics,720,158,158,0.0730632911392405,0.03583840189873417,0.1518987341772152,0.1444620253164557,2090647.4279143421
Technology,720,97,97,0.1794639175257732,0.10979676288659793,0.2268041237113402,0.1446701030927835,327531.3654151449
Economy,720,78,78,0.036032051282051274,0.01839528525641025,0.1282051282051282,0.11290384615384615,3800762.876816362
World,720,27,27,0.12727777777777777,0.07019136111111109,0.1111111111111111,0.09024074074074075,5820820.331206614
Science,720,2,2,0.17400000000000002,0.057666249999999995,0.0,0.17400000000000002,201680.56840049993
Crypto,780,1699,1699,0.4179228958210712,0.20809514773396115,0.4543849323131254,0.45737198351971753,246939.49184398275
Sports,780,1340,1340,0.352569776119403,0.1791965800373134,0.47388059701492535,0.4661361940298508,675856.5945910534
Uncategorized,780,537,537,0.3827513966480447,0.19478588221601487,0.409683426443203,0.4308482309124767,173568.3304442756
Culture,780,167,167,0.08222155688622755,0.039783272455089815,0.11976047904191617,0.10244910179640719,568767.208299137
Politics,780,158,158,0.07552215189873417,0.03702030537974683,0.1518987341772152,0.14502215189873416,2090647.4279143421
Technology,780,97,97,0.18022680412371134,0.10811132474226803,0.2268041237113402,0.14915463917525773,327531.3654151449
Economy,780,78,78,0.036801282051282046,0.018961368589743583,0.1282051282051282,0.11440384615384616,3800762.876816362
World,780,27,27,0.11955555555555557,0.061623944444444446,0.1111111111111111,0.08955555555555555,5820820.331206614
Science,780,2,2,0.18875,0.068116625,0.0,0.18875,201680.56840049993
Crypto,840,1587,1587,0.4122164461247637,0.20511997306238183,0.4543163201008192,0.45480245746691866,255349.2253558177
Sports,840,1336,1336,0.3522447604790419,0.17924938248502992,0.47380239520958084,0.46589296407185626,676721.1373126555
Uncategorized,840,506,506,0.3758794466403162,0.19137111561264822,0.41106719367588934,0.4264189723320158,176568.89853655535
Culture,840,167,167,0.0854311377245509,0.041887422155688615,0.11976047904191617,0.10383233532934132,568767.208299137
Politics,840,158,158,0.07492088607594936,0.03396971677215189,0.1518987341772152,0.1442120253164557,2090647.4279143421
Technology,840,97,97,0.18037113402061855,0.10905457731958762,0.2268041237113402,0.14804123711340206,327531.3654151449
Economy,840,78,78,0.03500641025641025,0.017577900641025636,0.1282051282051282,0.11310897435897435,3800762.876816362
World,840,27,27,0.11911111111111111,0.06098057407407406,0.1111111111111111,0.08911111111111111,5820820.331206614
Science,840,2,2,0.18275,0.06552812499999999,0.0,0.18275,201680.56840049993
Crypto,900,1480,1480,0.40617195945945944,0.20183731739864866,0.452027027027027,0.4516320945945946,263466.5174035248
Sports,900,1336,1336,0.3518506736526946,0.1789465024326347,0.47380239520958084,0.46625037425149696,676721.1373126555
Uncategorized,900,471,471,0.3658885350318471,0.18544875743099787,0.4033970276008493,0.42066135881104033,180084.89429411042
Culture,900,167,167,0.08872155688622754,0.04477327994011975,0.11976047904191617,0.10489520958083831,568767.208299137
Politics,900,158,158,0.07879746835443037,0.03748591772151898,0.1518987341772152,0.14379113924050635,2090647.4279143421
Technology,900,97,97,0.18057731958762885,0.10894332474226803,0.2268041237113402,0.1466185567010309,327531.3654151449
Economy,900,78,78,0.03576923076923076,0.018153685897435896,0.1282051282051282,0.11483333333333334,3800762.876816362
World,900,27,27,0.12227777777777778,0.06373113888888889,0.1111111111111111,0.09227777777777778,5820820.331206614
Science,900,2,2,0.166,0.0538,0.0,0.166,201680.56840049993
Crypto,960,1350,1350,0.3977551851851852,0.19763033648148148,0.4525925925925926,0.44676037037037036,274982.0469731472
Sports,960,1333,1333,0.3521129032258064,0.1791598058889722,0.4741185296324081,0.4660423855963991,677952.4063353125
Uncategorized,960,455,455,0.3613736263736264,0.18349905274725276,0.3956043956043956,0.41805494505494506,181674.7496542022
Culture,960,167,167,0.09216167664670659,0.04776535928143712,0.11976047904191617,0.10410778443113772,568767.208299137
Politics,960,158,158,0.07871202531645569,0.036891890822784795,0.1518987341772152,0.14300316455696202,2090647.4279143421
Technology,960,97,97,0.18477835051546393,0.11236559536082472,0.2268041237113402,0.1480360824742268,327531.3654151449
Economy,960,78,78,0.035410256410256406,0.017440499999999994,0.1282051282051282,0.11407692307692308,3800762.876816362
World,960,27,27,0.11933333333333332,0.06275812962962961,0.1111111111111111,0.08859259259259258,5820820.331206614
Science,960,2,2,0.08075,0.012488125,0.0,0.08075,201680.56840049993
Sports,1020,1328,1328,0.35171874999999997,0.1788628563629518,0.47289156626506024,0.4652119728915663,677781.1972397278
Crypto,1020,1250,1250,0.3894808,0.1931482364,0.444,0.4423152,285331.6132971086
Uncategorized,1020,422,422,0.35000710900473936,0.1778651125592417,0.3862559241706161,0.41037440758293836,184080.79907622517
Culture,1020,167,167,0.08895508982035928,0.04505254341317364,0.11976047904191617,0.10439820359281438,568767.208299137
Politics,1020,158,158,0.07830379746835442,0.03575041455696201,0.1518987341772152,0.14465822784810128,2090647.4279143421
Technology,1020,97,97,0.18351546391752577,0.11155648969072163,0.2268041237113402,0.14737113402061855,327531.3654151449
Economy,1020,78,78,0.037647435897435896,0.019322560897435892,0.1282051282051282,0.11524999999999999,3800762.876816362
World,1020,27,27,0.1187037037037037,0.062264259259259234,0.1111111111111111,0.08833333333333332,5820820.331206614
Science,1020,2,2,0.07475,0.01059312499999995,0.0,0.07475,201680.56840049993
Sports,1080,1314,1314,0.35028614916286144,0.17806683866057837,0.471841704718417,0.4649855403348554,679445.6801382478
Crypto,1080,1130,1130,0.37861681415929205,0.18739254557522123,0.43805309734513276,0.43683097345132743,300751.0987351962
Uncategorized,1080,394,394,0.3418705583756345,0.17525184137055835,0.3756345177664975,0.40586548223350255,188669.59079327923
Culture,1080,167,167,0.08955988023952095,0.04507518113772454,0.11976047904191617,0.10276946107784432,568767.208299137
Politics,1080,158,158,0.07646835443037973,0.03383558544303796,0.1518987341772152,0.14460759493670886,2090647.4279143421
Technology,1080,97,97,0.18569072164948455,0.1143496443298969,0.2268041237113402,0.1457938144329897,327531.3654151449
Economy,1080,78,78,0.03708974358974358,0.01807262179487179,0.1282051282051282,0.11493589743589744,3800762.876816362
World,1080,27,27,0.11833333333333335,0.06002998148148148,0.1111111111111111,0.09129629629629629,5820820.331206614
Science,1080,2,2,0.0735,0.01023249999999995,0.0,0.0735,201680.56840049993
Sports,1140,1304,1304,0.3490072852760736,0.1771470711273006,0.4700920245398773,0.465041027607362,665847.5863026737
Crypto,1140,997,997,0.3674398194583751,0.1818877505015045,0.4262788365095286,0.43192226680040124,322139.71268704085
Uncategorized,1140,367,367,0.32985831062670296,0.16770883514986373,0.3814713896457766,0.4000790190735695,192765.10685325076
Culture,1140,167,167,0.08971556886227545,0.04490168113772454,0.11976047904191617,0.10331437125748502,568767.208299137
Politics,1140,158,158,0.07818354430379747,0.03466235443037973,0.1518987341772152,0.1459746835443038,2090647.4279143421
Technology,1140,97,97,0.18499484536082472,0.11511517783505154,0.2268041237113402,0.14388144329896907,327531.3654151449
Economy,1140,78,78,0.037717948717948716,0.01844825,0.1282051282051282,0.11478205128205128,3800762.876816362
World,1140,27,27,0.12090740740740741,0.060865824074074065,0.1111111111111111,0.09535185185185185,5820820.331206614
Science,1140,2,2,0.07375,0.010304124999999949,0.0,0.07375,201680.56840049993
Sports,1200,1293,1293,0.3478476411446249,0.17652160402165504,0.4694508894044857,0.4654385150812065,668212.4896224607
Crypto,1200,897,897,0.35334726867335564,0.17438031633221848,0.4169453734671126,0.4244342251950947,343308.7154353777
Uncategorized,1200,347,347,0.32169884726224784,0.16399500648414986,0.3861671469740634,0.39534149855907785,195496.7766366629
Culture,1200,167,167,0.0924251497005988,0.04643696706586825,0.11976047904191617,0.10283233532934133,568767.208299137
Politics,1200,158,158,0.0771139240506329,0.033723066455696185,0.1518987341772152,0.14749367088607596,2090647.4279143421
Technology,1200,97,97,0.1854278350515464,0.11548125515463917,0.2268041237113402,0.14457216494845362,327531.3654151449
Economy,1200,78,78,0.039993589743589734,0.020884189102564097,0.1282051282051282,0.11733974358974358,3800762.876816362
World,1200,27,27,0.12214814814814814,0.06241842592592591,0.1111111111111111,0.09585185185185185,5820820.331206614
Science,1200,2,2,0.073,0.01008999999999995,0.0,0.073,201680.56840049993
Sports,1260,1281,1281,0.3463302107728337,0.17564806986729115,0.46604215456674475,0.46490788446526154,671879.0946798294
Crypto,1260,768,768,0.329052734375,0.1618180276692708,0.4049479166666667,0.410599609375,377531.108053057
Uncategorized,1260,325,325,0.31091230769230765,0.1588972746153846,0.37846153846153846,0.3889923076923077,199963.92312457238
Culture,1260,167,167,0.09512275449101795,0.04896225598802394,0.11976047904191617,0.10081137724550898,568767.208299137
Politics,1260,158,158,0.07902848101265822,0.034873903481012644,0.1518987341772152,0.1478006329113924,2090647.4279143421
Technology,1260,97,97,0.18901030927835052,0.11897078350515464,0.2268041237113402,0.14300000000000002,327531.3654151449
Economy,1260,78,78,0.04161538461538461,0.0227108141025641,0.1282051282051282,0.11882051282051283,3800762.876816362
World,1260,27,27,0.11972222222222222,0.05995558333333331,0.1111111111111111,0.09564814814814815,5820820.331206614
Science,1260,2,2,0.073,0.01008999999999995,0.0,0.073,201680.56840049993
Sports,1320,1262,1262,0.3446426307448494,0.17502954397781298,0.4635499207606973,0.46469968304278925,676143.4617606407
Crypto,1320,661,661,0.3029841149773071,0.14853896180030257,0.3903177004538578,0.3971565809379728,415164.2136012871
Uncategorized,1320,287,287,0.2869111498257839,0.14758225174216028,0.3623693379790941,0.3762247386759582,210141.77275519175
Culture,1320,167,167,0.09580538922155689,0.04891301946107784,0.11976047904191617,0.10090119760479042,568767.208299137
Politics,1320,158,158,0.08163291139240506,0.03686811075949366,0.1518987341772152,0.14998101265822783,2090647.4279143421
Technology,1320,97,97,0.18871649484536082,0.11882886855670104,0.2268041237113402,0.1418917525773196,327531.3654151449
Economy,1320,78,78,0.041224358974358964,0.021795407051282047,0.1282051282051282,0.1191346153846154,3800762.876816362
World,1320,27,27,0.12059259259259258,0.05996279629629628,0.1111111111111111,0.10059259259259258,5820820.331206614
Science,1320,2,2,0.068,0.008719999999999999,0.0,0.068,201680.56840049993
Sports,1380,1235,1235,0.34063076923076924,0.1728570777327935,0.4631578947368421,0.46430040485829965,683347.5433424142
Crypto,1380,555,555,0.26592342342342346,0.1293799481981982,0.37117117117117115,0.3759846846846847,465267.1658277492
Uncategorized,1380,270,270,0.2738481481481481,0.14149372222222223,0.34814814814814815,0.3670407407407407,215510.3481178779
Culture,1380,167,167,0.09632634730538922,0.04924924401197604,0.11976047904191617,0.1003383233532934,568767.208299137
Politics,1380,158,158,0.08118037974683544,0.03590787183544302,0.1518987341772152,0.15004746835443036,2090647.4279143421
Technology,1380,97,97,0.1873298969072165,0.11777289690721647,0.2268041237113402,0.1402577319587629,327531.3654151449
Economy,1380,78,78,0.039749999999999994,0.019383913461538456,0.1282051282051282,0.11744230769230771,3800762.876816362
World,1380,27,27,0.12392592592592593,0.06159385185185184,0.1111111111111111,0.10096296296296296,5820820.331206614
Science,1380,2,2,0.0685,0.00878825,0.0,0.0685,201680.56840049993
Sports,1440,1226,1226,0.3389506525285481,0.1715160311990212,0.46166394779771613,0.4637157422512235,684529.8864880372
Crypto,1440,512,512,0.24681054687499998,0.11959681542968749,0.35546875,0.363787109375,492409.62492175354
Uncategorized,1440,263,263,0.2663878326996198,0.13753697718631178,0.34220532319391633,0.36219011406844104,217745.70492513702
Culture,1440,167,167,0.09775449101796407,0.05019944910179639,0.11976047904191617,0.10056886227544912,568767.208299137
Politics,1440,158,158,0.08207278481012657,0.036435944620253145,0.1518987341772152,0.15005379746835443,2090647.4279143421
Technology,1440,97,97,0.186659793814433,0.11768745360824742,0.2268041237113402,0.13921649484536083,327531.3654151449
Economy,1440,78,78,0.0395576923076923,0.019499137820512817,0.1282051282051282,0.11786538461538462,3800762.876816362
World,1440,27,27,0.11662962962962962,0.05482438888888887,0.1111111111111111,0.10033333333333333,5820820.331206614
Science,1440,2,2,0.08775000000000001,0.014630625,0.0,0.08775000000000001,201680.56840049993
Sports,2880,1153,1153,0.33310537727666956,0.1681952786209887,0.46313963573287076,0.4608217692974848,677416.7939578235
Crypto,2880,317,317,0.12227287066246055,0.054352268927444776,0.27129337539432175,0.29062302839116716,692724.937358501
Uncategorized,2880,209,209,0.21608612440191388,0.11333706459330142,0.3062200956937799,0.3265023923444976,236107.5498546844
Culture,2880,165,165,0.10912727272727273,0.05797227575757575,0.12121212121212122,0.09940606060606061,573847.1758207931
Politics,2880,158,158,0.10541772151898733,0.051082689873417714,0.1518987341772152,0.15415189873417723,2090647.4279143421
Technology,2880,93,93,0.1923978494623656,0.12391267741935483,0.23655913978494625,0.13462365591397848,337023.2939929254
Economy,2880,78,78,0.04056410256410256,0.016990628205128203,0.1282051282051282,0.12162820512820513,3800762.876816362
World,2880,27,27,0.11474074074074074,0.05194899999999998,0.1111111111111111,0.11437037037037037,5820820.331206614
Science,2880,2,2,0.0905,0.01516249999999995,0.0,0.0905,201680.56840049993
