category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Crypto,10,3261,3261,0.47944158233670653,0.4789941735663907,0.4543563324133701,0.2270434544618215,0.0004474087703158573,193237.70331986307
Sports,10,1634,1634,0.48191585067319465,0.4975520195838433,0.3644978580171358,0.18747007175642594,-0.015636168910648708,625614.1003024189
Uncategorized,10,982,982,0.46329124236252545,0.439918533604888,0.4294073319755601,0.2167923732179226,0.023372708757637476,154414.82687598464
Culture,10,173,173,0.1142456647398844,0.12138728323699421,0.07428034682080925,0.03632342919075144,-0.007141618497109825,555106.6405986756
Politics,10,158,158,0.13874999999999998,0.1518987341772152,0.058028481012658215,0.028038289556962016,-0.013148734177215187,2090647.4279143421
Technology,10,99,99,0.15896969696969696,0.23232323232323232,0.17895959595959596,0.11163741919191918,-0.07335353535353535,322999.41840355616
Economy,10,89,89,0.16237078651685394,0.16853932584269662,0.09251685393258427,0.047834264044943814,-0.006168539325842694,3359638.341085194
World,10,27,27,0.09177777777777776,0.1111111111111111,0.13103703703703704,0.07502918518518518,-0.019333333333333334,5820820.331206614
Science,10,2,2,0.031,0.0,0.031,0.00183125,0.031,201680.56840049993
Crypto,30,3224,3224,0.4790825062034739,0.4792183622828784,0.4540049627791563,0.22688146789702232,-0.0001358560794044633,193964.7998715296
Sports,30,1627,1627,0.48171020282728944,0.49784880147510757,0.36407037492317146,0.18702117655193606,-0.016138598647818064,626812.9148943255
Uncategorized,30,974,974,0.4633459958932238,0.4383983572895277,0.4299219712525667,0.21718933572895274,0.0249476386036961,154848.35809570528
Culture,30,173,173,0.11403179190751445,0.12138728323699421,0.07177167630057803,0.033614819364161844,-0.007355491329479766,555106.6405986756
Politics,30,158,158,0.13934177215189875,0.1518987341772152,0.05768354430379746,0.027752082278481006,-0.012556962025316453,2090647.4279143421
Technology,30,99,99,0.15952525252525254,0.23232323232323232,0.17914141414141413,0.11161692424242424,-0.07279797979797979,322999.41840355616
Economy,30,89,89,0.1605056179775281,0.16853932584269662,0.09210112359550561,0.04862161235955056,-0.008033707865168539,3359638.341085194
World,30,27,27,0.09077777777777778,0.1111111111111111,0.13218518518518518,0.07677066666666665,-0.02033333333333333,5820820.331206614
Science,30,2,2,0.03225,0.0,0.03225,0.001866625,0.03225,201680.56840049993
Crypto,60,3164,3164,0.4790962389380531,0.47914032869785084,0.453469816687737,0.22668460785398228,-4.4089759797721685e-05,195334.76746646504
Sports,60,1588,1588,0.48214011335012597,0.49433249370277077,0.3624379722921914,0.1864969752833753,-0.012192380352644831,633490.8957245431
Uncategorized,60,951,951,0.461931650893796,0.4374342797055731,0.42853627760252366,0.2168760483701367,0.024497371188222927,155148.383275246
Culture,60,173,173,0.11385838150289018,0.12138728323699421,0.07300867052023122,0.03418722109826589,-0.007528901734104045,555106.6405986756
Politics,60,158,158,0.14062658227848102,0.1518987341772152,0.05686075949367087,0.027523259493670876,-0.011272151898734173,2090647.4279143421
Technology,60,99,99,0.15814646464646465,0.23232323232323232,0.1802070707070707,0.11266312373737372,-0.07417676767676767,322999.41840355616
Economy,60,89,89,0.16014606741573034,0.16853932584269662,0.09008988764044942,0.046081134831460674,-0.008393258426966293,3359638.341085194
World,60,27,27,0.08551851851851852,0.1111111111111111,0.12677777777777777,0.07490496296296295,-0.02559259259259259,5820820.331206614
Science,60,2,2,0.06125,0.0,0.06125,0.00708662499999995,0.06125,201680.56840049993
Crypto,120,3075,3075,0.4784112195121951,0.479349593495935,0.4519510569105691,0.22569053195121952,-0.0009383739837398342,197269.63054858812
Sports,120,1565,1565,0.47943258785942494,0.4913738019169329,0.36283706070287536,0.18577363354632587,-0.011941214057507981,634723.4776717684
Uncategorized,120,925,925,0.46128,0.43891891891891893,0.4261037837837838,0.21535538810810811,0.022361081081081088,156017.01381280966
Culture,120,173,173,0.11399421965317919,0.12138728323699421,0.07380346820809248,0.03388450867052022,-0.007393063583815027,555106.6405986756
Politics,120,158,158,0.14353164556962025,0.1518987341772152,0.06671518987341771,0.03281719620253164,-0.008367088607594934,2090647.4279143421
Technology,120,99,99,0.1606161616161616,0.23232323232323232,0.18213131313131312,0.11138087878787879,-0.0717070707070707,322999.41840355616
Economy,120,89,89,0.16479775280898876,0.16853932584269662,0.09519101123595505,0.04968846067415729,-0.003741573033707865,3359638.341085194
World,120,27,27,0.08725925925925926,0.1111111111111111,0.12285185185185186,0.06962507407407408,-0.023851851851851857,5820820.331206614
Science,120,2,2,0.0645,0.0,0.0645,0.00788125,0.0645,201680.56840049993
Crypto,180,2981,2981,0.4773659845689366,0.4766856759476686,0.45074538745387455,0.22511740858772222,0.0006803086212680341,199558.90082042015
Sports,180,1504,1504,0.4765658244680851,0.488031914893617,0.36123670212765957,0.1852462357047872,-0.011466090425531907,643827.1098251853
Uncategorized,180,896,896,0.4583236607142857,0.43638392857142855,0.4249854910714285,0.2150473917410714,0.021939732142857143,156991.19067919077
Culture,180,173,173,0.11385838150289018,0.12138728323699421,0.07410693641618496,0.03323757658959537,-0.007528901734104045,555106.6405986756
Politics,180,158,158,0.14516772151898735,0.1518987341772152,0.06854113924050632,0.034785096518987334,-0.006731012658227846,2090647.4279143421
Technology,180,98,98,0.1569438775510204,0.22448979591836735,0.1733112244897959,0.1034945637755102,-0.06754591836734694,325354.63128575566
Economy,180,89,89,0.16682022471910113,0.16853932584269662,0.09725842696629212,0.05229182022471909,-0.0017191011235955064,3359638.341085194
World,180,27,27,0.08192592592592592,0.1111111111111111,0.11896296296296296,0.06802396296296297,-0.029185185185185186,5820820.331206614
Science,180,2,2,0.068,0.0,0.068,0.00898,0.068,201680.56840049993
Crypto,240,2870,2870,0.47625,0.47735191637630664,0.448858362369338,0.22387628318815328,-0.001101916376306617,202352.58379806287
Sports,240,1473,1473,0.4734582484725051,0.48336727766463,0.36451934826883914,0.18743076849966053,-0.00990902919212491,647698.8828214804
Uncategorized,240,865,865,0.45713872832369945,0.4369942196531792,0.4221167630057803,0.2131510895953757,0.02014450867052023,158225.73055118026
Culture,240,173,173,0.11392196531791908,0.12138728323699421,0.07366763005780345,0.03172759393063583,-0.007465317919075145,555106.6405986756
Politics,240,158,158,0.14427848101265822,0.1518987341772152,0.06706962025316456,0.033757284810126575,-0.007620253164556959,2090647.4279143421
Technology,240,98,98,0.15287755102040815,0.22448979591836735,0.17777551020408164,0.10827320408163264,-0.07161224489795918,325354.63128575566
Economy,240,89,89,0.1653483146067416,0.16853932584269662,0.093876404494382,0.04789288764044943,-0.003191011235955052,3359638.341085194
World,240,27,27,0.0852962962962963,0.1111111111111111,0.12125925925925926,0.06868799999999999,-0.025814814814814808,5820820.331206614
Science,240,2,2,0.06425,0.0,0.06425,0.007879625,0.06425,201680.56840049993
Crypto,300,2733,2733,0.4749771313574826,0.47420417124039516,0.4468245517746066,0.22276116419685327,0.0007729601170874529,205869.21820977444
Sports,300,1441,1441,0.4708504510756419,0.4823039555863983,0.36269292158223454,0.18592445610687022,-0.011453504510756414,654924.6430424112
Uncategorized,300,827,827,0.4543089480048368,0.44256348246674726,0.4197962515114873,0.21193687031438938,0.011745465538089485,159899.86229859001
Culture,300,173,173,0.11348554913294798,0.12138728323699421,0.07748554913294797,0.03530779768786126,-0.007901734104046241,555106.6405986756
Politics,300,158,158,0.14524683544303799,0.1518987341772152,0.06950632911392404,0.03422898734177215,-0.006651898734177214,2090647.4279143421
Technology,300,97,97,0.14849484536082475,0.2268041237113402,0.17848453608247422,0.11013053092783504,-0.07830927835051546,327531.3654151449
Economy,300,89,89,0.16625842696629214,0.16853932584269662,0.09464044943820225,0.04838225280898876,-0.0022808988764044915,3359638.341085194
World,300,27,27,0.08433333333333334,0.1111111111111111,0.12562962962962962,0.0735157222222222,-0.026777777777777772,5820820.331206614
Science,300,2,2,0.06425,0.0,0.06425,0.007879625,0.06425,201680.56840049993
Crypto,360,2598,2598,0.4740598537336413,0.4745958429561201,0.445096805234796,0.2222711309661278,-0.0005359892224788269,209464.86747619114
Sports,360,1426,1426,0.4717507012622721,0.48106591865357645,0.3611384992987377,0.18506287920757364,-0.00931521739130434,657736.4278443791
Uncategorized,360,795,795,0.4529132075471698,0.44528301886792454,0.41632704402515724,0.20988510125786164,0.007630188679245286,160866.96200232446
Culture,360,173,173,0.11966184971098265,0.12138728323699421,0.08223410404624278,0.03798972109826589,-0.001725433526011559,555106.6405986756
Politics,360,158,158,0.14520569620253163,0.1518987341772152,0.06979430379746836,0.03403946677215189,-0.006693037974683544,2090647.4279143421
Technology,360,97,97,0.14850515463917524,0.2268041237113402,0.17916494845360822,0.11111354123711338,-0.07829896907216495,327531.3654151449
Economy,360,89,89,0.16512359550561798,0.16853932584269662,0.09334831460674158,0.04749199999999999,-0.003415730337078646,3359638.341085194
World,360,27,27,0.0816111111111111,0.1111111111111111,0.12761111111111112,0.07740237962962962,-0.029499999999999995,5820820.331206614
Science,360,2,2,0.07825,0.0,0.07825,0.011710624999999999,0.07825,201680.56840049993
Crypto,420,2466,2466,0.4718992295214923,0.4724249797242498,0.44238179237631786,0.22082619880373072,-0.000525750202757499,213408.2119879256
Sports,420,1411,1411,0.471053862508859,0.4805102763997165,0.3603401842664777,0.18472016052445073,-0.00945641389085754,660859.8226364214
Uncategorized,420,750,750,0.450184,0.43733333333333335,0.4116813333333333,0.207425192,0.012850666666666668,162481.0310353026
Culture,420,169,169,0.11081952662721893,0.11834319526627218,0.07456508875739645,0.03374080029585798,-0.007523668639053255,564136.4878535495
Politics,420,158,158,0.14422784810126582,0.1518987341772152,0.06947468354430379,0.03335513607594936,-0.007670886075949366,2090647.4279143421
Technology,420,97,97,0.1493041237113402,0.2268041237113402,0.17786082474226803,0.10893467783505152,-0.0775,327531.3654151449
Economy,420,89,89,0.16493820224719102,0.16853932584269662,0.09502808988764044,0.04898660955056179,-0.0036011235955056148,3359638.341085194
World,420,27,27,0.08077777777777778,0.1111111111111111,0.12555555555555556,0.07484870370370371,-0.03033333333333333,5820820.331206614
Science,420,2,2,0.08,0.0,0.08,0.011950249999999999,0.08,201680.56840049993
Crypto,480,2325,2325,0.46958666666666665,0.4752688172043011,0.43891096774193544,0.21888977784946234,-0.005682150537634405,217477.01613832498
Sports,480,1391,1391,0.4694946081955428,0.47807332854061824,0.35887131560028757,0.18392572609633356,-0.008578720345075478,664830.4164649709
Uncategorized,480,702,702,0.4461296296296296,0.42735042735042733,0.4068076923076923,0.2051597514245014,0.01877920227920228,163541.75947794013
Culture,480,169,169,0.1080828402366864,0.11834319526627218,0.07721301775147929,0.035891289940828394,-0.010260355029585798,564136.4878535495
Politics,480,158,158,0.14379430379746835,0.1518987341772152,0.06926265822784809,0.03325484651898733,-0.008104430379746834,2090647.4279143421
Technology,480,97,97,0.1495721649484536,0.2268041237113402,0.1811082474226804,0.11008188402061855,-0.0772319587628866,327531.3654151449
Economy,480,89,89,0.16665168539325845,0.16853932584269662,0.09787640449438201,0.05144262921348313,-0.001887640449438197,3359638.341085194
World,480,27,27,0.08127777777777778,0.1111111111111111,0.12683333333333333,0.07575025,-0.029833333333333337,5820820.331206614
Science,480,2,2,0.09875,0.0,0.09875,0.018169625000000002,0.09875,201680.56840049993
Crypto,540,2184,2184,0.4675721153846154,0.4684065934065934,0.43563209706959705,0.21711606101190475,-0.0008344780219780192,222057.10567284367
Sports,540,1378,1378,0.46870319303338176,0.47677793904209,0.3575732946298984,0.18319452285921622,-0.008074746008708267,667909.1958575179
Uncategorized,540,662,662,0.4423791540785499,0.4214501510574018,0.40111480362537766,0.20221864879154078,0.02092900302114804,164442.1459159773
Culture,540,168,168,0.10564880952380952,0.11904761904761904,0.07829166666666668,0.038314839285714275,-0.013398809523809521,566153.1262832076
Politics,540,158,158,0.14311075949367089,0.1518987341772152,0.07071202531645569,0.03419308386075949,-0.008787974683544303,2090647.4279143421
Technology,540,97,97,0.14694329896907218,0.2268041237113402,0.18320103092783505,0.11367370360824741,-0.07986082474226805,327531.3654151449
Economy,540,89,89,0.16597191011235954,0.16853932584269662,0.09864606741573033,0.05218849157303371,-0.0025674157303370746,3359638.341085194
World,540,27,27,0.08692592592592592,0.1111111111111111,0.1272962962962963,0.07326712962962963,-0.02418518518518519,5820820.331206614
Science,540,2,2,0.09025,0.0,0.09025,0.01499262499999995,0.09025,201680.56840049993
Crypto,600,2049,2049,0.4657162030258663,0.4675451439726696,0.4320695461200586,0.21558909358223521,-0.0018289409468033153,227030.7707887402
Sports,600,1361,1361,0.4682825128581925,0.4761204996326231,0.3554338721528288,0.1815642488978692,-0.00783798677443056,671018.8760968484
Uncategorized,600,624,624,0.4405440705128205,0.42467948717948717,0.3971033653846154,0.20069754927884614,0.015864583333333335,166353.39525387497
Culture,600,167,167,0.10481437125748504,0.11976047904191617,0.08137724550898204,0.03872974251497005,-0.014946107784431138,568767.208299137
Politics,600,158,158,0.14305696202531645,0.1518987341772152,0.07013291139240506,0.03396260443037974,-0.008841772151898734,2090647.4279143421
Technology,600,97,97,0.14485567010309278,0.2268041237113402,0.1796185567010309,0.11112489690721648,-0.08194845360824742,327531.3654151449
Economy,600,89,89,0.16341011235955055,0.16853932584269662,0.09692696629213483,0.05062987921348314,-0.005129213483146061,3359638.341085194
World,600,27,27,0.08703703703703704,0.1111111111111111,0.12925925925925927,0.07472516666666668,-0.024074074074074074,5820820.331206614
Science,600,2,2,0.153,0.0,0.153,0.044579249999999994,0.153,201680.56840049993
Crypto,660,1925,1925,0.4628106493506493,0.4623376623376623,0.4274568831168831,0.2131629744155844,0.0004729870129870166,233120.66991273852
Sports,660,1347,1347,0.4665308092056422,0.4758723088344469,0.35359317000742385,0.18020368114328134,-0.009341499628804744,673879.6116024837
Uncategorized,660,597,597,0.438000837520938,0.41708542713567837,0.39272613065326634,0.1986078320770519,0.020915410385259632,168548.86908373365
Culture,660,167,167,0.10410179640718564,0.11976047904191617,0.08044910179640719,0.03776494311377245,-0.01565868263473054,568767.208299137
Politics,660,158,158,0.14131962025316458,0.1518987341772152,0.07185126582278481,0.03481008702531644,-0.010579113924050629,2090647.4279143421
Technology,660,97,97,0.14628350515463917,0.2268041237113402,0.17969587628865977,0.10897880154639175,-0.08052061855670103,327531.3654151449
Economy,660,83,83,0.14029518072289157,0.12048192771084337,0.06849999999999999,0.03580274397590361,0.019813253012048195,3584948.117262497
World,660,27,27,0.08912962962962963,0.1111111111111111,0.12987037037037036,0.07372502777777777,-0.021981481481481477,5820820.331206614
Science,660,2,2,0.13625,0.0,0.13625,0.035012125,0.13625,201680.56840049993
Crypto,720,1806,1806,0.4600113510520487,0.45625692137320045,0.422641472868217,0.21051946220930232,0.0037544296788482863,240103.37308488795
Sports,720,1342,1342,0.46574888226527567,0.47466467958271236,0.3526900149031297,0.1792423789120715,-0.008915797317436655,675189.7418888834
Uncategorized,720,563,563,0.43367761989342807,0.41207815275310833,0.3869014209591474,0.19583405817051508,0.02159946714031972,171239.06196477264
Culture,720,167,167,0.10269461077844311,0.11976047904191617,0.08217365269461077,0.03978173353293412,-0.01706586826347305,568767.208299137
